Handle,Design code (product.metafields.custom.design_code),Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Compare At Price,Variant Price,Image Src,Image Position,Image Alt Text,Product Category,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Status,IGI certificate number (product.metafields.custom.igi_certificate_number),IGI certificate (product.metafields.custom.igi_certificate),Price Breakdown slt (product.metafields.custom.price_breakdown_slt),Discount savings (product.metafields.custom.discount_savings),Offer text (product.metafields.custom.offer_text),Metal color (product.metafields.custom.metal_color),Diamond pcs (product.metafields.custom.diamond_pcs),Stone pcs (product.metafields.custom.stone_pcs)
NP0068,NP000214,Floral Diamond Four-Petal Nose Pin,White and yellow gold nose pin with a four-petal flower design featuring five brilliant diamonds — four petals and one centre stone — in secure prong settings. Smooth yellow gold band for comfort. Classic and versatile from daily wear to grand celebrations.,Cavora World Ecom,Nose Pin,"Nose Pin, 18KT Rose Gold",TRUE,Title,Default Title,NP0068,0.511,1,23205,17412,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/NP0068_1.jpg,1,Floral Diamond Four-Petal Nose Pin,Apparel & Accessories > Jewelry > Body Jewelry,shopify,continue,manual,TRUE,TRUE,active,40J0197325,https://api.igi.org/viewpdf.php?r=40J0197325,"{""subtotal"":{""net"":""₹16905.28"",""gross"":""₹22528.78""},""making"":{""net"":""₹0.00"",""gross"":""₹1788.50""},""grandtotal"":{""net"":""₹17412"",""gross"":""₹23205""},""metals"":[{""gross"":""₹5400.28"",""net"":""₹5400.28"",""wt"":""0.485 g"",""name"":""18KT Rose Gold"",""rate"":""₹11134.59/g""}],""tax"":""₹507"",""diamonds"":[{""gross"":""₹15340.00"",""wt"":""0.130 ct"",""name"":""H-I/SI RD - 5 pcs"",""net"":""₹11505.00""}]}",24.96%,Flat 25% OFF on Diamonds + Zero Making Charges,18KT Rose Gold,5 pcs,
NP0068,NP000214,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/NP0068_2.jpg,2,Floral Diamond Four-Petal Nose Pin,,,,,,,,,,,,,,,
NP0068,NP000214,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/NP0068_3.jpg,3,Floral Diamond Four-Petal Nose Pin,,,,,,,,,,,,,,,
NP0068,NP000214,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/NP0068_4.jpg,4,Floral Diamond Four-Petal Nose Pin,,,,,,,,,,,,,,,
NP0068,NP000214,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/NP0068_5.jpg,5,Floral Diamond Four-Petal Nose Pin,,,,,,,,,,,,,,,
NP0068,NP000214,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/NP0068_6.png,6,Floral Diamond Four-Petal Nose Pin,,,,,,,,,,,,,,,
PD00151,PD015896,Yellow Gold Blue Enamel Hummingbird Pendant,"Another charming variant of the hummingbird series — this 14K yellow gold pendant with blue enamel wings and sparkling pavé diamonds is a beautiful symbol of life, joy, and freedom. Perfect everywhere from daily wear to festive occasions. Gift this to your daughter, sister, or best friend — a beautiful expression of love.",Cavora World Ecom,Pendant,"Pendant, 14KT Yellow Gold",TRUE,Title,Default Title,PD00151,0.912,1,19926,14512,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/PD00151_1.jpg,1,Yellow Gold Blue Enamel Hummingbird Pendant,Apparel & Accessories > Jewelry > Earrings,shopify,continue,manual,TRUE,TRUE,active,39J3233425,https://api.igi.org/viewpdf.php?r=39J3233425,"{""subtotal"":{""net"":""₹14088.84"",""gross"":""₹19345.84""},""making"":{""net"":""₹0.00"",""gross"":""₹3192.00""},""grandtotal"":{""net"":""₹14512"",""gross"":""₹19926""},""metals"":[{""gross"":""₹7893.84"",""net"":""₹7893.84"",""wt"":""0.898 g"",""name"":""14KT Yellow Gold"",""rate"":""₹8790.47/g""}],""tax"":""₹423"",""diamonds"":[{""gross"":""₹8260.00"",""wt"":""0.070 ct"",""name"":""H-I/SI RD - 20 pcs"",""net"":""₹6195.00""}]}",27.17%,Flat 25% OFF on Diamonds + Zero Making Charges,14KT Yellow Gold,20 pcs,
PD00151,PD015896,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/PD00151_2.jpg,2,Yellow Gold Blue Enamel Hummingbird Pendant,,,,,,,,,,,,,,,
PD00151,PD015896,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/PD00151_3.jpg,3,Yellow Gold Blue Enamel Hummingbird Pendant,,,,,,,,,,,,,,,
PD00151,PD015896,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0937/6579/6122/files/PD00151_4.jpg,4,Yellow Gold Blue Enamel Hummingbird Pendant,,,,,,,,,,,,,,,
